timestamp_unix,elapsed_s,controller_id,kd_applied,tau_max_nm,watchdog_s,position_rev,velocity_rps,velocity_rpm,measured_torque_nm
1775350484.181328,1.962924,1,1.160000,0.600000,0.100000,-0.471099854,-0.014700145,-0.882008728,0.003697500
1775350484.187791,1.969388,1,1.160000,0.600000,0.100000,-0.471023560,0.007280050,0.436802991,0.000087825
1775350484.194567,1.976164,1,1.160000,0.600000,0.100000,-0.471038818,-0.001576709,-0.094602546,-0.000179068
1775350484.200907,1.982504,1,1.160000,0.600000,0.100000,-0.471084595,-0.002415351,-0.144921066,-0.002588118
1775350484.207315,1.988912,1,1.160000,0.600000,0.100000,-0.471115112,-0.009573403,-0.574404169,0.000093977
1775350484.213721,1.995318,1,1.160000,0.600000,0.100000,-0.471084595,0.000271978,0.016318684,-0.000184787
1775350484.220363,2.001960,1,1.160000,0.600000,0.100000,-0.471176147,-0.020209474,-1.212568469,0.001198410
1775350484.226703,2.008300,1,1.160000,0.600000,0.100000,-0.471038818,0.020517755,1.231065318,-0.002407118
1775350484.242194,2.023791,1,1.160000,0.600000,0.100000,-0.471145630,-0.009341806,-0.560508370,-0.003984573
1775350484.251259,2.032856,1,1.160000,0.600000,0.100000,-0.471054077,0.010794804,0.647688266,0.000181423
1775350484.261312,2.042908,1,1.160000,0.600000,0.100000,-0.471099854,-0.002352092,-0.141125503,-0.002217097
1775350484.270386,2.051983,1,1.160000,0.600000,0.100000,-0.471008301,-0.003469256,-0.208155387,0.000175089
1775350484.283289,2.064886,1,1.160000,0.600000,0.100000,-0.471054077,-0.002568382,-0.154102924,-0.001203330
1775350484.291829,2.073426,1,1.160000,0.600000,0.100000,-0.471115112,-0.005826015,-0.349560929,0.001106709
1775350484.302908,2.084505,1,1.160000,0.600000,0.100000,-0.471160889,-0.022361148,-1.341668889,0.000096924
1775350484.312839,2.094436,1,1.160000,0.600000,0.100000,-0.471023560,0.018871091,1.132265478,-0.001204398
1775350484.319411,2.100974,1,1.160000,0.600000,0.100000,-0.471176147,-0.025932020,-1.555921175,0.000097710
1775350484.325734,2.107330,1,1.160000,0.600000,0.100000,-0.471084595,0.011426352,0.685581118,-0.001294162
1775350484.332385,2.113981,1,1.160000,0.600000,0.100000,-0.471038818,-0.000563591,-0.033815472,0.000000000
1775350484.338729,2.120326,1,1.160000,0.600000,0.100000,-0.471099854,-0.001696064,-0.101763848,0.000185997
1775350484.345062,2.126659,1,1.160000,0.600000,0.100000,-0.471008301,0.012561882,0.753712915,-0.000087363
1775350484.351894,2.133491,1,1.160000,0.600000,0.100000,-0.470993042,0.006493458,0.389607456,-0.001205258
1775350484.358413,2.140009,1,1.160000,0.600000,0.100000,-0.471023560,-0.007032974,-0.421978449,-0.002496599
1775350484.364705,2.146302,1,1.160000,0.600000,0.100000,-0.471069336,-0.012433136,-0.745988153,-0.001202141
1775350484.371089,2.152686,1,1.160000,0.600000,0.100000,-0.471069336,0.007038270,0.422296179,-0.001385425
1775350484.384445,2.166042,1,1.160000,0.600000,0.100000,-0.471069336,0.010100027,0.606001597,-0.000000000
1775350484.396439,2.178035,1,1.160000,0.600000,0.100000,-0.471282959,-0.021952037,-1.317122206,-0.001404804
1775350484.407995,2.189591,1,1.160000,0.600000,0.100000,-0.471054077,0.004099965,0.245997906,-0.000090508
1775350484.414881,2.196477,1,1.160000,0.600000,0.100000,-0.470962524,0.028442021,1.706521288,-0.001122400
1775350484.428802,2.210399,1,1.160000,0.600000,0.100000,-0.471145630,-0.019781975,-1.186918505,-0.001582531
1775350484.440005,2.221602,1,1.160000,0.600000,0.100000,-0.470932007,0.015537940,0.932276398,-0.004994535
1775350484.448887,2.230484,1,1.160000,0.600000,0.100000,-0.471054077,-0.010423249,-0.625394918,0.000000000
1775350484.457988,2.239585,1,1.160000,0.600000,0.100000,-0.471054077,-0.006388176,-0.383290574,0.001202883
1775350484.464453,2.246049,1,1.160000,0.600000,0.100000,-0.470962524,0.006258799,0.375527954,-0.000085004
